Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
16,,,,,,,-119.84528941,34.41599070,-20.249,Global,9.9,0.013,0.013,0.015,0.018,1.945,m,FIX,RTK,2026-02-06 17:46:34.6 UTC-08:00,2026-02-06 17:46:34.6 UTC-08:00,1,1.2,1.4,,,,-119.79242800,34.50781198,811.544,11316.060,P519_RTCM3,Global CS,7,6,5,5,0,Reach RX2,8243B70F5B178099
17,,,,,,,-119.84525357,34.41598847,-20.227,Global,9.0,0.012,0.012,0.019,0.018,1.945,m,FIX,RTK,2026-02-06 17:46:40.4 UTC-08:00,2026-02-06 17:46:40.4 UTC-08:00,1,1.2,1.4,,,,-119.79242800,34.50781198,811.544,11314.830,P519_RTCM3,Global CS,9,7,5,5,0,Reach RX2,8243B70F5B178099
18,,,,,,,-119.84521480,34.41599127,-20.192,Global,9.9,0.013,0.013,0.024,0.018,1.945,m,FIX,RTK,2026-02-06 17:46:46.8 UTC-08:00,2026-02-06 17:46:46.8 UTC-08:00,1,1.2,1.4,,,,-119.79242800,34.50781198,811.544,11313.050,P519_RTCM3,Global CS,7,7,5,5,0,Reach RX2,8243B70F5B178099
19,,,,,,,-119.84517828,34.41600488,-20.122,Global,10.9,0.013,0.013,0.017,0.018,1.945,m,FIX,RTK,2026-02-06 17:46:53.0 UTC-08:00,2026-02-06 17:46:53.0 UTC-08:00,1,1.3,1.5,,,,-119.79242800,34.50781198,811.544,11310.250,P519_RTCM3,Global CS,8,7,5,5,0,Reach RX2,8243B70F5B178099
20,,,,,,,-119.84513702,34.41600841,-20.201,Global,7.5,0.013,0.013,0.018,0.018,1.945,m,FIX,RTK,2026-02-06 17:46:59.6 UTC-08:00,2026-02-06 17:46:59.6 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11308.180,P519_RTCM3,Global CS,8,7,4,5,0,Reach RX2,8243B70F5B178099
21,,,,,,,-119.84511463,34.41601151,-20.356,Global,9.3,0.012,0.012,0.014,0.018,1.945,m,FIX,RTK,2026-02-06 17:47:59.6 UTC-08:00,2026-02-06 17:47:59.6 UTC-08:00,1,1.2,1.3,,,,-119.79242800,34.50781198,811.544,11307.020,P519_RTCM3,Global CS,8,6,5,4,0,Reach RX2,8243B70F5B178099
22,,,,,,,-119.84507757,34.41602549,-20.265,Global,3.9,0.012,0.012,0.016,0.017,1.945,m,FIX,RTK,2026-02-06 17:48:51.4 UTC-08:00,2026-02-06 17:48:51.4 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11304.040,P519_RTCM3,Global CS,9,7,4,5,0,Reach RX2,8243B70F5B178099
23,,,,,,,-119.84504758,34.41604350,-20.255,Global,9.8,0.013,0.013,0.022,0.018,1.945,m,FIX,RTK,2026-02-06 17:49:02.8 UTC-08:00,2026-02-06 17:49:02.8 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11301.140,P519_RTCM3,Global CS,8,7,4,4,0,Reach RX2,8243B70F5B178099
24,,,,,,,-119.84502024,34.41605982,-20.204,Global,8.7,0.013,0.013,0.018,0.018,1.945,m,FIX,RTK,2026-02-06 17:49:59.0 UTC-08:00,2026-02-06 17:49:59.0 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11298.360,P519_RTCM3,Global CS,8,7,5,5,0,Reach RX2,8243B70F5B178099
25,,,,,,,-119.84499425,34.41608102,-20.256,Global,8.8,0.013,0.013,0.022,0.018,1.945,m,FIX,RTK,2026-02-06 17:50:48.0 UTC-08:00,2026-02-06 17:50:48.0 UTC-08:00,1,1.3,1.5,,,,-119.79242800,34.50781198,811.544,11295.190,P519_RTCM3,Global CS,5,5,5,3,0,Reach RX2,8243B70F5B178099
26,,,,,,,-119.84497888,34.41609931,-20.051,Global,9.8,0.013,0.013,0.020,0.018,1.945,m,FIX,RTK,2026-02-06 17:50:58.0 UTC-08:00,2026-02-06 17:50:58.0 UTC-08:00,1,1.2,1.4,,,,-119.79242800,34.50781198,811.544,11292.720,P519_RTCM3,Global CS,8,6,4,3,0,Reach RX2,8243B70F5B178099
27,,,,,,,-119.84496115,34.41612675,-19.847,Global,5.6,0.012,0.012,0.014,0.017,1.945,m,FIX,RTK,2026-02-06 17:51:29.2 UTC-08:00,2026-02-06 17:51:29.2 UTC-08:00,1,1.2,1.4,,,,-119.79242800,34.50781198,811.544,11289.270,P519_RTCM3,Global CS,8,6,5,5,0,Reach RX2,8243B70F5B178099
28,,,,,,,-119.84494440,34.41615014,-19.867,Global,8.2,0.012,0.012,0.013,0.018,1.945,m,FIX,RTK,2026-02-06 17:51:41.6 UTC-08:00,2026-02-06 17:51:41.6 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11286.260,P519_RTCM3,Global CS,8,6,4,4,0,Reach RX2,8243B70F5B178099
29,,,,,,,-119.84492783,34.41617865,-19.813,Global,9.2,0.013,0.013,0.016,0.018,1.945,m,FIX,RTK,2026-02-06 17:52:03.0 UTC-08:00,2026-02-06 17:52:03.0 UTC-08:00,1,1.2,1.4,,,,-119.79242800,34.50781198,811.544,11282.690,P519_RTCM3,Global CS,7,7,5,6,0,Reach RX2,8243B70F5B178099
30,,,,,,,-119.84492448,34.41620704,-19.625,Global,2.0,0.012,0.012,0.011,0.017,1.945,m,FIX,RTK,2026-02-06 17:52:11.6 UTC-08:00,2026-02-06 17:52:11.6 UTC-08:00,1,1.2,1.3,,,,-119.79242800,34.50781198,811.544,11279.710,P519_RTCM3,Global CS,8,7,5,5,0,Reach RX2,8243B70F5B178099
31,,,,,,,-119.84488890,34.41623892,-20.010,Global,6.2,0.012,0.012,0.012,0.017,1.945,m,FIX,RTK,2026-02-06 17:52:34.6 UTC-08:00,2026-02-06 17:52:34.6 UTC-08:00,1,1.2,1.4,,,,-119.79242800,34.50781198,811.544,11275.110,P519_RTCM3,Global CS,7,6,5,6,0,Reach RX2,8243B70F5B178099
32,,,,,,,-119.84488806,34.41627827,-20.002,Global,7.6,0.012,0.012,0.015,0.017,1.945,m,FIX,RTK,2026-02-06 17:52:46.0 UTC-08:00,2026-02-06 17:52:46.0 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11271.150,P519_RTCM3,Global CS,7,7,5,5,0,Reach RX2,8243B70F5B178099
33,,,,,,,-119.84489355,34.41630999,-20.035,Global,5.4,0.012,0.012,0.022,0.017,1.945,m,FIX,RTK,2026-02-06 17:53:01.2 UTC-08:00,2026-02-06 17:53:01.2 UTC-08:00,1,1.2,1.3,,,,-119.79242800,34.50781198,811.544,11268.210,P519_RTCM3,Global CS,5,5,3,4,0,Reach RX2,8243B70F5B178099
