Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Tilt angle,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
16,,,,,,,-119.84077078,34.41366295,-21.000,Global,28.4,0.015,0.015,0.018,0.021,1.945,m,FIX,RTK,2026-01-19 14:15:33.8 UTC-08:00,2026-01-19 14:15:33.8 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11380.600,P519_RTCM3,Global CS,7,6,6,4,0,Reach RX2,8243B70F5B178099
17,,,,,,,-119.84081767,34.41364699,-20.807,Global,29.8,0.016,0.016,0.020,0.023,1.945,m,FIX,RTK,2026-01-19 14:15:44.4 UTC-08:00,2026-01-19 14:15:44.4 UTC-08:00,1,1.2,1.4,,,,-119.79242800,34.50781198,811.544,11384.010,P519_RTCM3,Global CS,7,5,6,4,0,Reach RX2,8243B70F5B178099
18,,,,,,,-119.84085153,34.41363119,-20.872,Global,24.7,0.014,0.014,0.017,0.020,1.945,m,FIX,RTK,2026-01-19 14:15:54.8 UTC-08:00,2026-01-19 14:15:54.8 UTC-08:00,1,1.2,1.4,,,,-119.79242800,34.50781198,811.544,11386.920,P519_RTCM3,Global CS,8,5,6,4,0,Reach RX2,8243B70F5B178099
19,,,,,,,-119.84090367,34.41354409,-21.064,Global,26.7,0.015,0.015,0.018,0.021,1.945,m,FIX,RTK,2026-01-19 14:16:10.2 UTC-08:00,2026-01-19 14:16:10.2 UTC-08:00,1,1.1,1.3,,,,-119.79242800,34.50781198,811.544,11397.650,P519_RTCM3,Global CS,8,5,6,4,0,Reach RX2,8243B70F5B178099
20,,,,,,,-119.84095187,34.41352140,-21.075,Global,22.6,0.014,0.014,0.017,0.020,1.945,m,FIX,RTK,2026-01-19 14:16:24.2 UTC-08:00,2026-01-19 14:16:24.2 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11401.840,P519_RTCM3,Global CS,8,5,8,4,0,Reach RX2,8243B70F5B178099
21,,,,,,,-119.84101802,34.41348459,-21.070,Global,20.2,0.014,0.014,0.016,0.020,1.945,m,FIX,RTK,2026-01-19 14:16:37.2 UTC-08:00,2026-01-19 14:16:37.2 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11407.950,P519_RTCM3,Global CS,8,6,8,4,0,Reach RX2,8243B70F5B178099
22,,,,,,,-119.84097434,34.41345782,-21.388,Global,16.5,0.015,0.015,0.016,0.021,1.945,m,FIX,RTK,2026-01-19 14:16:49.2 UTC-08:00,2026-01-19 14:16:49.2 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11409.040,P519_RTCM3,Global CS,8,6,7,3,0,Reach RX2,8243B70F5B178099
23,,,,,,,-119.84104426,34.41344066,-21.009,Global,22.2,0.014,0.014,0.017,0.020,1.945,m,FIX,RTK,2026-01-19 14:17:03.6 UTC-08:00,2026-01-19 14:17:03.6 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11413.450,P519_RTCM3,Global CS,8,6,8,4,0,Reach RX2,8243B70F5B178099
24,,,,,,,-119.84110287,34.41342590,-20.960,Global,18.6,0.014,0.014,0.019,0.020,1.945,m,FIX,RTK,2026-01-19 14:17:16.4 UTC-08:00,2026-01-19 14:17:16.4 UTC-08:00,1,1.0,1.1,,,,-119.79242800,34.50781198,811.544,11417.030,P519_RTCM3,Global CS,8,6,7,4,0,Reach RX2,8243B70F5B178099
25,,,,,,,-119.84117916,34.41338619,-21.517,Global,20.4,0.015,0.015,0.018,0.021,1.945,m,FIX,RTK,2026-01-19 14:17:49.0 UTC-08:00,2026-01-19 14:17:49.0 UTC-08:00,1,1.1,1.2,,,,-119.79242800,34.50781198,811.544,11423.900,P519_RTCM3,Global CS,8,6,8,4,0,Reach RX2,8243B70F5B178099
